url,playlist
https://beachcam.meo.pt/livecams/praia-da-luz/,https://video-auth1.iol.pt/beachcam/luz/playlist.m3u8
https://beachcam.meo.pt/livecams/carcavelos-calhau/,https://video-auth1.iol.pt/beachcam/carcavelos2/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-da-torre/,https://video-auth1.iol.pt/beachcam/bctorre/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-da-tocha/,https://video-auth1.iol.pt/beachcam/tocha/playlist.m3u8
https://beachcam.meo.pt/livecams/carvoeiro/,https://video-auth1.iol.pt/beachcam/carvoeiro/playlist.m3u8
https://beachcam.meo.pt/livecams/seignosse-les-bourdaines/,https://video-auth1.iol.pt/beachcam/seignossebourdaines/playlist.m3u8
https://beachcam.meo.pt/livecams/esmoriz/,https://video-auth1.iol.pt/beachcam/esmoriz/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-da-torreira/,https://video-auth1.iol.pt/beachcam/torreira/playlist.m3u8
https://beachcam.meo.pt/livecams/alvor/,https://video-auth1.iol.pt/beachcam/alvor/playlist.m3u8
https://beachcam.meo.pt/livecams/lisboa-cais-do-sodre/,https://video-auth1.iol.pt/beachcam/caisdosodre/playlist.m3u8
https://beachcam.meo.pt/livecams/les-sables-dolonne/,https://video-auth1.iol.pt/beachcam/sablesolonne/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-do-evaristo/,https://video-auth1.iol.pt/beachcam/evaristo/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-do-guincho/,https://video-auth1.iol.pt/beachcam/praiaguinchosul/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-do-pedrogao/,https://video-auth1.iol.pt/beachcam/praiapedrogao/playlist.m3u8
https://beachcam.meo.pt/livecams/parede/,https://video-auth1.iol.pt/beachcam/parede/playlist.m3u8
https://beachcam.meo.pt/livecams/hossegor/,https://video-auth1.iol.pt/beachcam/hossegor/playlist.m3u8
https://beachcam.meo.pt/livecams/sao-joao-do-estoril/,https://video-auth1.iol.pt/beachcam/saojoaodoestoril/playlist.m3u8
https://beachcam.meo.pt/livecams/bidart-centre/,https://video-auth1.iol.pt/beachcam/bidartlouhabia/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-de-sao-torpes/,https://video-auth1.iol.pt/beachcam/saotorpes/playlist.m3u8
https://beachcam.meo.pt/livecams/costa-da-caparica-sao-joao/,https://video-auth1.iol.pt/beachcam/costacaparicasaojoao/playlist.m3u8
https://beachcam.meo.pt/livecams/figueira-da-foz-cabedelo-buarcos/,https://video-auth1.iol.pt/beachcam/figueiradafoz/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-do-norte-canhao-nazare/,https://video-auth1.iol.pt/beachcam/canhaonazare/playlist.m3u8
https://beachcam.meo.pt/livecams/le-havre/,https://video-auth1.iol.pt/beachcam/lehavre/playlist.m3u8
https://beachcam.meo.pt/livecams/anglet-la-madrague/,https://video-auth1.iol.pt/beachcam/anglemadrague/playlist.m3u8
https://beachcam.meo.pt/livecams/madeira-jardim-do-mar/,https://video-auth1.iol.pt/beachcam/madeirajardimdomar/playlist.m3u8
https://beachcam.meo.pt/livecams/arrifana/,https://video-auth1.iol.pt/beachcam/arrifana/playlist.m3u8
https://beachcam.meo.pt/livecams/palavas-les-flots/,https://video-auth1.iol.pt/beachcam/palavasrivedroite/playlist.m3u8
https://beachcam.meo.pt/livecams/ericeira-praia-da-calada/,https://video-auth1.iol.pt/beachcam/praiadacalada/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-do-peneco/,https://video-auth1.iol.pt/beachcam/praiadopeneco/playlist.m3u8
https://beachcam.meo.pt/livecams/ericeira/,https://video-auth1.iol.pt/beachcam/ericeiraspots/playlist.m3u8
https://beachcam.meo.pt/livecams/caxias/,https://video-auth1.iol.pt/beachcam/caxias/playlist.m3u8
https://beachcam.meo.pt/livecams/la-teste-de-buch/,https://video-auth1.iol.pt/beachcam/latestedubuch/playlist.m3u8
https://beachcam.meo.pt/livecams/costa-de-caparica-cabana-do-pescador/,https://video-auth1.iol.pt/beachcam/bccabanadopescador/playlist.m3u8
https://beachcam.meo.pt/livecams/la-tremblade/,https://video-auth1.iol.pt/beachcam/ronce/playlist.m3u8
https://beachcam.meo.pt/livecams/malaga-praia-arraijanal/,https://video-auth1.iol.pt/beachcam/malaga/playlist.m3u8
https://beachcam.meo.pt/livecams/ribeira-dilhas/,https://video-auth1.iol.pt/beachcam/bcmafraribeira/playlist.m3u8
https://beachcam.meo.pt/livecams/meia-praia/,https://video-auth1.iol.pt/beachcam/meiapraia/playlist.m3u8
https://beachcam.meo.pt/livecams/praia-da-alagoa/,https://video-auth1.iol.pt/beachcam/bcalagoa/playlist.m3u8
https://beachcam.meo.pt/livecams/lagide-e-baía/,https://video-auth1.iol.pt/beachcam/lagide/playlist.m3u8
https://beachcam.meo.pt/livecams/costa-nova/,https://video-auth1.iol.pt/beachcam/costanova/playlist.m3u8
https://beachcam.meo.pt/livecams/palavas-les-flots-rive-gauche/,https://video-auth1.iol.pt/beachcam/palavasrivegauche/playlist.m3u8
